Name,latitude,longitude
Aghababyan's Hotel,40.2094918,44.4622442
Villa Ayghedzor,40.1911517,44.5007006
Kesabella Touristic House,40.1643347,44.4132708
Hotel Tigran Mets,40.1749155,44.5140005
MGA Hostel & Tours,40.1776962,44.5069626
Classic Hostel Yerevan,40.1943845,44.4899526
Konyak Hotel,40.167233,44.517902
Best View Hotel,40.1871,44.533859
Ani Grand Hotel Yerevan,40.1778462,44.5177868
Comfort House Hotel,40.1902311,44.5297684
MBM Hotel Yerevan,40.1696879,44.5175707
RIS Dalma Collection Yerevan,40.1791316,44.4896738
Master's House Dayan,40.1764999,44.4932653
Mashtots Hotel,40.1836828,44.5124253
FlatsInYerevan,40.178809,44.518785
A Hotel Yerevan,40.1815162,44.5127754
Praha Hotel,40.181588,44.5189209
Green Palace Hotel & Sauna,40.2040657,44.555885
Arm Hostel,40.1844508,44.5115327
Ani Central Inn,40.1689877,44.5130334
Nor Dzoraberd Hotel,40.1805742,44.4979327
Republic Square Hostel,40.1797995,44.5160284
Hotel Lilia Yerevan,40.2301025,44.5420077
Hotel For You,40.1986947,44.4893299
City Centre Apartments,40.1816066,44.5092659
4Guest Hotel,40.1478552,44.4813368
Ararat hotel,40.1733384,44.5063321
Miami International Suite Hotel,40.1549869,44.4781768
Hostel Glide,40.1987253,44.4896113
Best Eastern Hotel Metropol,40.1742869,44.5015544
Yerevan Hostel,40.1787719,44.5187909
Bloor Hotel,40.2022901,44.487347
Palma Palace Hotel,40.1952564,44.5463563
Guest House at Aygestana,40.1801118,44.5261415
Garni Hinyard,40.1187424,44.7158668
Hobby Hotel,40.1825562,44.5046619
Nor Yerevan,40.1805556,44.5125
Aurora Hotel & Hostel,40.1790075,44.5284521
Teryan Pushkin Apart Hotel,40.181656,44.5127799
Alex Hotel,40.1806785,44.5149971
Castle Family Hotel,40.2100145,44.5026152
Moscow Boutique Hotel,40.1820635,44.5173329
Park Avenue,40.186971,44.5686528
Inter Hostel,40.166758,44.5171869
4 Room Hotel,40.1715337,44.527436
R&R Hotel,40.1804597,44.5180028
Comfort Hotel,40.17154,44.5121657
Skyline Hotel Yerevan,40.179969,44.5094478
Loft Host,40.1812751,44.5122672
New Yerevan,40.1897663,44.5298153
Grammy Hostel,40.1855079,44.5189904
Imperial Palace Hotel,40.1899758,44.5201266
Hrazdan Hotel,40.1852437,44.5015122
Golden Palace Hotel Yerevan,40.1804563,44.5147768
North Avenue Hotel,40.181068,44.5148
Sochi Palace Hotel,40.1902544,44.5985601
SD Hotel,40.1550832,44.5135301
Ramada Hotel & Suites by Wyndham Yerevan,40.1798053,44.511722
Armenia Hostel,40.2066946,44.5711701
Premium Hotel,40.180854,44.5224019
Park Apartments by Picnic,40.1816872,44.5077165
ApartHotel Arshakunyants,40.169677,44.5075972
Globus hostel &Tours,40.1800557,44.5211344
Eridana Hotel,40.2204081,44.4962099
Venice Hotel,40.1555355,44.5207504
Aquatek Resort and SPA,40.2057637,44.5596423
Central Apartments By Ris,40.1863812,44.5132086
Cross Apartments and Tours,40.2223121,44.4598774
Friendship Hostel & Tours,40.1788316,44.5073409
Princ Plaza Hotel,40.2117771,44.484769
Balcony Villa Hostel,40.2038537,44.489646
Alba Hotel Yerevan,40.1901288,44.5051873
Park Hotel,40.1815467,44.5110569
Rafael Hostel,40.1817538,44.5128583
Hotel Maison Yerevan,40.1654291,44.5203827
Artsakh Hotel,40.15177,44.5034641
Guest House West Yerevan,40.1937112,44.461129
My Apartments Yerevan,40.1852812,44.5211935
Golden Eagle Guesthouse,40.1942518,44.5023988
Radiance Hostel and Tours,40.1745957,44.5120151
Museum Street Hotel,40.1907095,44.5133393
Villa Rosa,40.1923349,44.4987113
Sakharov Hostel,40.1789669,44.519286
Mirage Hotel,40.208984,44.562352
Mini Hostel Tigranyan 5,40.2053701,44.5199953
Manand Hotel,40.1795796,44.500153
ArtEast Hostel,40.1838991,44.5283245
Like Home,40.1815708,44.5301658
Mandarin Hotel,40.1798939,44.5205739
Home Hostel,40.1537391,44.5140218
Tatev Apartments,40.1932415,44.503326
Karson Hostel,40.1872023,44.515209
Bella Hotel,40.1702391,44.5166659
Hotel Bastille,40.2126088,44.5074035
Baxos Hotel,40.186569,44.5252256
Li-Em Fauna Hostel,40.1992815,44.5510972
NP-NO PROBLEM,40.1602665,44.5089586
Solibri,40.1872023,44.515209
Amiryan Apart &Tours,40.1783302,44.5110151
Russo Hotel,40.2173206,44.5850649
Liko Hostel,40.2138515,44.5201947
Elross,40.1872023,44.515209
Shamrock 18 Hostel and Tours,40.2043196,44.5201436
Nova Suites Yerevan,40.1823756,44.5195603
NAR-AR HOTEL,40.1590738,44.5072423
Tatev Hostel & Hotel,40.17088,44.517265
Kond guest house,40.1827218,44.498981
Highland Hostel,40.1800009,44.5073996
Luxury Apartments and Studios in New Building,40.173881,44.5042285
Happy Downtown Hostel,40.1696879,44.5175707
Aygestan Hostel,40.1829922,44.5282596
Armenian Village Park Hotel,40.1815467,44.5110569
Apart hotel Alex,40.1776458,44.5247355
Art Guesthouse Qanaqer,40.2325498,44.5475073
Zvartnots Ojakh,40.1491782,44.3988571
Holiday Home On Aygestan 11,40.1739456,44.5023327
Ashramtun,40.1872023,44.515209
One Day Hostel,40.1741142,44.5116326
333 Hotel,40.2005299,44.5083132
Grand Hills Hotel,40.1524649,44.4769364
Nors Guest House,40.1791858,44.4396172
City Central Apartment,40.1816066,44.5092659
Popock City Center,40.1533214,44.5145222
Welcome Apt. by AVS at 17 Buzand,40.1799198,44.5114776
A1 Hostel and Tours,40.179847,44.5162567
M&G Hostel And Tours,40.2043196,44.5201436
Yerevan Apart Republic Square,40.1776945,44.5126511
Sofia Hotel,40.1656601,44.5162586
Nur 7,40.187242,44.5217804
North Avenue Loft Apartments,40.1828662,44.5134956
3/3 Appart Hotel,40.1872023,44.515209
Balcon Boutique Hotel,40.1799495,44.5094744
Chateau Gabriel,40.177458,44.541608
Hostel Yere1,40.1806753,44.5184826
Hotel Merien,40.194765,44.5426046
Bellagio Hotel Complex,40.1920924,44.5327837
Votre Maison,40.1837904,44.509348
Shirak Hotel,40.1772964,44.5080098
Hotel Ritzar,40.1942666,44.5422985
Best Hostel Republic Square,40.176807,44.512289
Rp Hotel,40.1708595,44.4910989
Aleppo Hotel,40.187212,44.461504
Hotel MINI,40.18043,44.51546
NUR Hotel,40.1898245,44.4690324
Avan Plaza,40.2073132,44.5615115
Destiny 1 Hostel,40.1807433,44.5184073
Brandy Factory Hotel,40.17731,44.49449
Voyage Hotel,40.1777793,44.5035265
Linguists Home,40.1872023,44.515209
Full House Hostel,40.1832321,44.4999551
Crazy Hostel,40.1873497,44.5102558
Guest House Myasnikyan,40.2037763,44.5564092
Patriott hotel,40.1986595,44.5475409
Holiday Inn Yerevan - Republic Square,40.1784264,44.5116569
Apartments Emili,40.1810565,44.5169363
Apartment Arami (New Building),40.179474,44.5135437
XY Hotel,40.1525083,44.4908234
Narek+,40.2054271,44.5059868
Mikayelyan Mini Hotel,40.18043,44.51546
Hhoonj Villas and Apartments,40.2128548,44.5205996
Otel' I Spa Vanadzor Armeniya,40.7956694,44.5071203
Georgia Hotel,40.2257873,44.4507448
Street 51 Hostel Yerevan,40.1812348,44.5129395
Apartment In The Center Of Yerevan,40.180124,44.518263
Lilia Hotel,40.2301025,44.5420077
Noy Hostel Yerevan,40.1829922,44.5282596
Nordstrom - Hostel,40.1874727,44.5636393
Luys Hostel & Guest House,40.1935732,44.4976279
Goldway Hostel And Hotel,40.1390759,44.5147777
Guesthouse Na Ulice Orbeli,40.1937424,44.489766
Opera & Republic Square Apartments,40.1873348,44.5183351
Hostel in Yerevan,40.1872855,44.4263039
Yerevan Center Hostel,40.1342847,44.4893899
Hotel King,40.2156444,44.4698872
Avenue Hostel Yerevan,40.1812348,44.5129395
Guest House 59,40.1935732,44.4976279
ALEM Hotel,40.1786602,44.4461453
Hotel Gold,40.2137296,44.5151676
UPstairs Apart - Hostel,40.186886,44.520016
